Account_ID,Account_Name,Cloud_Provider,Parent_Account_ID,Default_Currency
AWS-ACCT-001,Acme Corp,AWS,PARENT-001,INR
AWS-ACCT-002,TechStart Inc,AWS,PARENT-001,INR
AWS-ACCT-003,DataWave,AWS,PARENT-001,EUR
AWS-ACCT-004,CloudNine,AWS,PARENT-001,USD
AWS-ACCT-005,PixelForge,AWS,PARENT-001,USD
AWS-ACCT-006,NovaSoft,AWS,PARENT-002,USD
AWS-ACCT-007,OptiCore,AWS,PARENT-002,INR
AWS-ACCT-008,ByteShift,AWS,PARENT-002,INR
AWS-ACCT-009,SkyLabs,AWS,PARENT-002,GBP
AWS-ACCT-010,PulseTech,AWS,PARENT-002,INR
AWS-ACCT-011,NeuralPath,AWS,PARENT-003,INR
AWS-ACCT-012,CodeSphere,AWS,PARENT-003,INR
AWS-ACCT-013,StackBridge,AWS,PARENT-003,USD
AWS-ACCT-014,InfraFlow,AWS,PARENT-003,USD
AWS-ACCT-015,AppVelocity,AWS,PARENT-003,INR
AWS-ACCT-016,MetricEdge,AWS,PARENT-004,USD
AWS-ACCT-017,ZenOps,AWS,PARENT-004,GBP
AWS-ACCT-018,LogicLayer,AWS,PARENT-004,USD
AWS-ACCT-019,VaultSync,AWS,PARENT-004,GBP
AWS-ACCT-020,EdgeMatrix,AWS,PARENT-004,EUR
AZ-ACCT-021,CyberPulse,Azure,PARENT-005,INR
AZ-ACCT-022,QuantumLeap,Azure,PARENT-005,USD
AZ-ACCT-023,FlexGrid,Azure,PARENT-005,GBP
AZ-ACCT-024,ShieldNet,Azure,PARENT-005,EUR
AZ-ACCT-025,CoreDynamics,Azure,PARENT-005,EUR
AZ-ACCT-026,StreamForge,Azure,PARENT-006,USD
AZ-ACCT-027,DataNest,Azure,PARENT-006,USD
AZ-ACCT-028,CloudPeak,Azure,PARENT-006,EUR
AZ-ACCT-029,SynergyAI,Azure,PARENT-006,INR
AZ-ACCT-030,TitanOps,Azure,PARENT-006,INR
AZ-ACCT-031,MapleCode,Azure,PARENT-007,GBP
AZ-ACCT-032,PineStack,Azure,PARENT-007,INR
AZ-ACCT-033,OceanData,Azure,PARENT-007,EUR
AZ-ACCT-034,AlphaGrid,Azure,PARENT-007,EUR
AZ-ACCT-035,BetaWorks,Azure,PARENT-007,EUR
GCP-ACCT-036,GammaLabs,GCP,PARENT-008,INR
GCP-ACCT-037,DeltaTech,GCP,PARENT-008,GBP
GCP-ACCT-038,EpsilonIO,GCP,PARENT-008,INR
GCP-ACCT-039,ZetaCloud,GCP,PARENT-008,GBP
GCP-ACCT-040,EtaDigital,GCP,PARENT-008,INR
GCP-ACCT-041,ThetaSys,GCP,PARENT-009,EUR
GCP-ACCT-042,IotaSoft,GCP,PARENT-009,EUR
GCP-ACCT-043,KappaNet,GCP,PARENT-009,USD
GCP-ACCT-044,LambdaOps,GCP,PARENT-009,INR
GCP-ACCT-045,MuDevs,GCP,PARENT-009,INR
GCP-ACCT-046,NuTech,GCP,PARENT-010,USD
GCP-ACCT-047,XiSystems,GCP,PARENT-010,EUR
GCP-ACCT-048,OmicronAI,GCP,PARENT-010,INR
GCP-ACCT-049,PiData,GCP,PARENT-010,USD
GCP-ACCT-050,RhoLabs,GCP,PARENT-010,INR
