Usage_ID,Account_ID,Timestamp,Service,SKU,Usage_Value,Unit,Cost,Currency,FX_Rate,Region,Resource_ID,Tag_Owner,Tag_Env,Charge_Type,Purchase_Type,Department,Project,CPU_Util,Memory_Util,Incident_ID,Ticket_ID,Price_Version,SLA_Event,Log_Skew_Seconds
U00523,AZ-ACCT-025,2026/01/27 16:26,Database,SQLDb-S2,24647.8,minutes,€758.64,EUR,1.08,canadacentral,az-vm-186,security,stage,True,On Demand,hr,gamma,24.5,92.8,,,v1,false,57.7
U05552,AZ-ACCT-027,2026-03-07T08:53:00Z,Storage,blob-hot,880.15,Gb,$60.37,dollar,1.0,CENTRALINDIA,az-vm-148,DevOps,staging,refund,SPOT,UNKNOWN_DEPT,PHOENIX,,,,,v3,FALSE,89.9
U09485,GCP-ACCT-044,2026-03-10T13:11:00-05:00,Compute,GCE-n1-standard-4,6182.58,hrs,180.15,inr,0.012,europe west1,gcp-inst-213,data,production,Refund,RESERVED,Operations,DELTA,28.3,99.5,,,v3,false,93.7
U00986,GCP-ACCT-050,27-02-2026 21:46:00,Compute,GCE-n1-standard-8,3959.7,minutes,383.79,Indian Rupee,,us-west1,gcp-inst-282,security,production,Credit,Reserved,engineering,beta,43.9,77.6,,,v2,false,2.6
U04477,AWS-ACCT-014,20-02-2026 21:05:00,Database,RDS-db.m5.large,28432.25,secs,"$1,882.17",USD,1.0,us west 2,aws-ec2-089,front-end,production,Billable,on-demand,HR,gamma,42.3,83.9,,T-137,v2,No,-18.4
U06027,AWS-ACCT-001,2026-03-01T07:13:00+01:00,Database,RDS-db.m5.large,17329.25,hours,219.04,INR,,us-east-1,aws-ec2-001,frontend,DEV,BILLABLE,SPOT,Security,beta,75.3,2.4,,T-191,v3,no,-60.6
U08190,AWS-ACCT-010,2026-03-02T19:20:00-08:00,COMPUTE,EC2-t3.medium,22779.79,sec,3455.12,INR,0.012,ap-south-1,aws-ec2-091,Security,production,free,reserved,Data_Science,nova,93.8,83.2,,,v3,No,4.4
U04344,  AWS-ACCT-005 ,2026/01/04 00:42,STORAGE,S3-IA,1076.99,GB,96.84,Us Dollar,1.0,eu-west-1,aws-ec2-101,security,development,REFUND,ON-DEMAND,HR,gamma,,,INC-023,T-067,v1,0,110.4
U08480,GCP-ACCT-042,2026-03-22T01:30:00+05:30,compute,GCE-n1-standard-4,29556.28,seconds,834.15,euro,1.08,us-central1,gcp-inst-260,DATA,production,credit,reserved,DEVOPS,gamma,91.2,38.3,,,v3,1,-84.6
U03646,AZ-ACCT-021,2026-01-15T03:53:00+05:30,compute,UNKNOWN-SKU-630,39444.87,hrs,3277.48,inr,0.012,canadacentral,az-vm-150,devops,staging,TRUE,Reserved,OPERATIONS,Alpha,61.4,88.8,INC-067,,v1,0,34.3
U03014,GCP-ACCT-043,2026-01-16T14:24:00+05:30,Compute,GCE-n1-standard-4,9937.35,hr,0,USD,1.0,asia-south1,gcp-inst-286,devops,production,billable,on_demand,UNKNOWN_DEPT,BETA,0.1,35.3,,,v1,FALSE,85.2
U01803,ACCT-003,2026-0221 16:05,DATABASE,RDS-DB.M5.LARGE,40489.67,hr,1313.90,EUR,1.08,ap-south-1,aws-ec2-088,frontend,staging,credit,Reserved,LEGAL,BETA,41.7,91.7,,,version2,1,-2.0
U05144,AWS-ACCT-014,2026-0107 22:39,STORAGE,S3-STANDARD,3138.28,megabytes,285.57,USD,1.0,ap-southeast-1,aws-ec2-018,frontend,STG,CREDIT,reserved,PRODUCT,EPSILON,,,INC-029,,v1,no,-12.2
