Incident_ID,Account_ID,Incident_Start,Incident_End,Affected_Service,Affected_Region,Severity,Root_Cause,SLA_Breach
INC-001,AWS-ACCT-011,16-02-2026 11:58:00,2026-02-17T06:58:00-08:00,Compute,ap south 1,SEV3,Database connection pool exhaustion,No
INC-002,GCP-ACCT-043,2026-03-19T04:21:00-08:00,2026/03/19 10:21,Database,us west1,SEV3,Disk I/O saturation on storage cluster,0
INC-003,GCP-ACCT-042,12-02-2026 04:42:00,2026-02-14T01:42:00Z,Database,us-west1,SEV1,Auto-scaling misconfiguration,False
INC-004,AZ-ACCT-022,2026-03-04T06:14:00+05:30,2026-03-04T15:14:00Z,Database,southEast asia,SEV2,Deployment rollback failure,0
INC-005,AWS-ACCT-010,2026-01-21 05:53:00,2026-01-23T02:53:00Z,Storage,ap-south-1,SEV1,Kernel panic on hypervisor host,NO
INC-006,GCP-ACCT-048,2026-02-27 07:34:00,2026-02-27 23:34:00,Storage,asia-southeast1,SEV2,Certificate expiry on load balancer,no
INC-007,AZ-ACCT-034,2026-02-23T05:52:00-08:00,,Storage,centralindia,SEV1,BGP route leak from upstream provider,TRUE
INC-008,AWS-ACCT-006,2026-01-21T08:28:00Z,2026-01-22T17:28:00-05:00,Storage,us-east-1,SEV2,BGP route leak from upstream provider,0
INC-009,AWS-ACCT-006,2026-02-17 07:01:00,18-02-2026 04:01:00,Compute,usea,SEV2,Memory exhaustion from runaway process,0
INC-010,AZ-ACCT-029,,2026-03-20T06:57:00+01:00,Database,canadacentral,SEV2,DNS resolution failure,false
INC-011,AWS-ACCT-016,2026-02-23T20:50:00-05:00,,Database,AP-SOUTHEAST-1,SEV1,Certificate expiry on load balancer,no
INC-012,AZ-ACCT-023,2026-01-31T18:26:00-08:00,,Database,southeastasia,SEV3,BGP route leak from upstream provider,NO
INC-013,AZ-ACCT-031,,2026-01-07T20:24:00+05:30,Database,centralindia,SEV2,BGP route leak from upstream provider,No
INC-014,AWS-ACCT-012,2026-03-29 14:44:00,,Storage,usea,SEV1,DNS resolution failure,TRUE
INC-015,AWS-ACCT-020,garbage_ts,2026-03-08T23:52:00+05:30,Database,apso,SEV2,Database connection pool exhaustion,Yes
INC-016,AZ-ACCT-029,2026-02-19T10:11:00Z,2026-02-20T18:11:00+05:30,Database,canadacentral,SEV3,Memory exhaustion from runaway process,FALSE
INC-017,AWS-ACCT-007,2026/01/11 10:42,2026/01/12 05:42,Storage,us west 2,SEV2,Deployment rollback failure,TRUE
INC-018,GCP-ACCT-041,2026-01-08T02:42:00Z,2026-01-09T19:42:00+05:30,Compute,asia-southeast1,SEV2,Network partition in availability zone,False
INC-019,GCP-ACCT-050,N/A,2026-03-25T12:23:00Z,Storage,asia-south1,SEV1,Deployment rollback failure,FALSE
INC-020,AZ-ACCT-026,NULL,2026-02-11T12:17:00Z,Database,eastus2,SEV2,Kernel panic on hypervisor host,no
INC-021,AWS-ACCT-019,2026-03-30T15:12:00+00:00,2026-03-30T23:12:00Z,Compute,ap-south-1,SEV3,Disk I/O saturation on storage cluster,FALSE
INC-022,AWS-ACCT-020,21-01-2026 22:45:00,2026-01-23T19:45:00+00:00,Compute,eu-west-1,SEV1,Auto-scaling misconfiguration,FALSE
INC-023,AZ-ACCT-030,,12-03-2026 10:39:00,Storage,southeastasia,SEV2,Deployment rollback failure,FALSE
INC-024,GCP-ACCT-042,2026-01-10T14:29:00+01:00,2026-01-12T10:29:00+00:00,Storage,asia-southeast1,SEV1,Disk I/O saturation on storage cluster,FALSE
INC-025,AWS-ACCT-011,2026-0121 10:59,2026-01-23T08:59:00+05:30,Storage,eu-west-1,SEV3,Certificate expiry on load balancer,FALSE
INC-026,GCP-ACCT-040,2026-0310 02:32,2026/03/11 20:32,Database,asia-southeast1,SEV3,Network partition in availability zone,true
INC-027,AWS-ACCT-006,2026-01-06T20:49:00+01:00,2026/01/08 09:49,Storage,apso,SEV2,Kernel panic on hypervisor host,NO
INC-028,GCP-ACCT-044,2026-02-21T09:29:00-05:00,2026-02-21T14:29:00+01:00,Compute,asia-south1,SEV2,Auto-scaling misconfiguration,True
INC-029,GCP-ACCT-049,2026-02-17T16:35:00Z,2026-02-17T23:35:00+05:30,Compute,asia-south1,SEV3,Database connection pool exhaustion,NO
INC-030,AWS-ACCT-011,2026-02-11T18:46:00+01:00,2026-02-12 15:46:00,Storage,us east 1,SEV2,BGP route leak from upstream provider,False
INC-031,AWS-ACCT-014,2026/03/16 11:03,2026/03/16 15:03,Storage,unknown-region-2,SEV2,Memory exhaustion from runaway process,Yes
INC-032,AZ-ACCT-024,,2026-02-22T13:02:00Z,Storage,eastus,SEV2,BGP route leak from upstream provider,no
INC-033,GCP-ACCT-044,20-03-2026 03:08:00,2026-0320 10:08,Compute,europe-west1,SEV2,BGP route leak from upstream provider,false
INC-034,AWS-ACCT-009,2026-02-12 15:33:00,2026-0213 21:33,Storage,eu-west-1,SEV3,Certificate expiry on load balancer,no
INC-035,AZ-ACCT-033,2026-03-10 15:45:00,2026/03/12 04:45,Storage,southeastasia,SEV3,Network partition in availability zone,FALSE
INC-036,GCP-ACCT-042,,2026-03-18T17:14:00Z,Database,asia-southeast1,SEV2,Memory exhaustion from runaway process,True
INC-037,AWS-ACCT-003,,2026-03-16T11:07:00+00:00,Storage,ap-southeast-1,SEV2,Network partition in availability zone,no
INC-038,AWS-ACCT-014,2026-03-13T10:42:00+00:00,2026-03-14T17:42:00Z,Database,ap-south-1,SEV3,Certificate expiry on load balancer,False
INC-039,AWS-ACCT-016,2026-0205 17:19,06-02-2026 08:19:00,Database,us-west-2,SEV2,BGP route leak from upstream provider,YES
INC-040,GCP-ACCT-047,2026-02-05T09:07:00Z,2026-02-06 22:07:00,Compute,asia south1,SEV3,Disk I/O saturation on storage cluster,0
INC-041,GCP-ACCT-042,2026-02-02T23:30:00Z,2026/02/03 13:30,Compute,us-central1,SEV3,DNS resolution failure,No
INC-042,AZ-ACCT-034,2026-01-29T20:14:00-05:00,30-01-2026 00:14:00,Compute,southeastasia,SEV1,Database connection pool exhaustion,0
INC-043,AZ-ACCT-031,2026/03/25 06:48,2026-03-26T01:48:00+01:00,Compute,southeastasia,SEV1,Memory exhaustion from runaway process,NO
INC-044,AWS-ACCT-012,05-01-2026 12:50:00,2026-01-06T20:50:00+05:30,Compute,ap-south-1,SEV1,Auto-scaling misconfiguration,No
INC-045,AZ-ACCT-035,2026-03-09T15:56:00Z,2026-03-10T00:56:00+00:00,Database,canadacentral,SEV3,Memory exhaustion from runaway process,FALSE
INC-046,AWS-ACCT-019,2026-03-14 21:48:00,2026-03-15 10:48:00,Database,ap south 1,SEV3,Disk I/O saturation on storage cluster,False
INC-047,AZ-ACCT-031,2026-02-11T07:00:00Z,2026-02-12T00:00:00+01:00,Database,southEast asia,SEV3,Auto-scaling misconfiguration,false
INC-048,GCP-ACCT-043,2026-01-16T14:19:00Z,17-01-2026 01:19:00,Storage,us-central1,SEV2,Auto-scaling misconfiguration,False
INC-049,AWS-ACCT-009,2026-03-03T04:29:00Z,2026-0305 04:29,Database,eu-west-1,SEV3,Deployment rollback failure,true
INC-050,AZ-ACCT-034,,2026-02-28T16:45:00+01:00,Database,westeurope,SEV1,Memory exhaustion from runaway process,no
INC-051,AZ-ACCT-029,2026-01-15T21:13:00+01:00,2026-01-17T19:13:00+00:00,Database,canadacentral,SEV1,BGP route leak from upstream provider,NO
INC-052,AWS-ACCT-020,2026/01/03 12:16,,Storage,us-east-1,SEV1,Disk I/O saturation on storage cluster,1
INC-053,AWS-ACCT-003,2026-0206 13:11,2026-02-06T22:11:00Z,Storage,us-west-2,SEV2,Database connection pool exhaustion,No
INC-054,AZ-ACCT-035,2026-0118 20:55,2026-01-19T19:55:00+00:00,Compute,eastus,SEV2,BGP route leak from upstream provider,0
INC-055,AWS-ACCT-015,2026-0201 14:22,2026-02-02T00:22:00-05:00,Database,US-EAST-1,SEV1,Disk I/O saturation on storage cluster,0
INC-056,GCP-ACCT-039,1970-01-01T00:00:00Z,2026-03-29T02:55:00Z,Compute,europe-west1,SEV2,DNS resolution failure,Yes
INC-057,GCP-ACCT-037,2026-02-10T18:38:00+00:00,2026-02-12T14:38:00Z,Storage,asia-south1,SEV3,Deployment rollback failure,True
INC-058,GCP-ACCT-041,,2026/03/29 21:35,Storage,asia-southeast1,SEV2,Database connection pool exhaustion,0
INC-059,AWS-ACCT-012,10-03-2026 15:15:00,2026-0311 06:15,Database,us-west-2,SEV3,BGP route leak from upstream provider,False
INC-060,AWS-ACCT-017,2026-01-27 10:41:00,,Database,eu west 1,SEV2,Deployment rollback failure,NO
INC-061,AWS-ACCT-005,2026-01-25T18:46:00Z,2026-01-27T13:46:00+05:30,Compute,eu-west-1,SEV1,Kernel panic on hypervisor host,Yes
