Ticket_ID,Account_ID,Created_At,Severity,Ticket_Text,Status,Resource_ID,Severity_Clean,Ticket_Text_Clean,Has_PII,Text_Changed
T-001,AWS-ACCT-020,2026/03/31 07:00,medium,High CPU on gcp-inst-220. Jane Smith (jane.smith@company.com) filed this. Server: +91-9876543210. Callback: 10.0.0.55,in_progress,gcp-inst-220,SEV2,High CPU on gcp-inst-220. [NAME] ([EMAIL]) filed this. Server: [PHONE]. Callback: [IP],True,True
T-002,AZ-ACCT-029,2026-01-02T00:00:00+05:30,SEV1,Instance az-vm-176 is unreachable. Contact Jane Smith at ahmed.khan@company.com or call +1-555-012-3456. IP: 192.168.0.42,closed,az-vm-176,SEV1,Instance az-vm-176 is unreachable. Contact [NAME] at [EMAIL] or call [PHONE]. IP: [IP],True,True
T-003,AZ-ACCT-024,2026/02/08 04:00,2,Permission denied for az-vm-196. Raj Patel (raj.patel@company.com) needs access. Node: +91-9876543210. Contact: 10.10.10.10,closed,az-vm-196,SEV2,Permission denied for az-vm-196. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-004,GCP-ACCT-047,2026-01-28T20:00:00+05:30,P2,Issue with resource aws-ec2-078. Service degraded. Investigating.,in_progress,aws-ec2-078,SEV2,Issue with resource aws-ec2-078. Service degraded. Investigating.,False,False
T-005,AZ-ACCT-025,2026/02/14 13:00,P2,Issue with resource az-vm-162. Service degraded. Investigating.,closed,az-vm-162,SEV2,Issue with resource az-vm-162. Service degraded. Investigating.,False,False
T-006,GCP-ACCT-050,2026-03-30T00:00:00+05:30,3,Issue with resource az-vm-155. Service degraded. Investigating.,open,az-vm-155,SEV3,Issue with resource az-vm-155. Service degraded. Investigating.,False,False
T-007,AZ-ACCT-032,2026-0219 03:00,1,Issue with resource az-vm-124. Service degraded. Investigating.,closed,az-vm-124,SEV1,Issue with resource az-vm-124. Service degraded. Investigating.,False,False
T-008,GCP-ACCT-037,2026-02-23T11:00:00+05:30,P3,Permission denied for gcp-inst-280. Raj Patel (sarah.johnson@company.com) needs access. Node: +91-9876543210. Contact: 192.168.1.100,open,gcp-inst-280,SEV3,Permission denied for gcp-inst-280. [NAME] ([EMAIL]) needs access. Node: [PHONE]. Contact: [IP],True,True
T-009,AZ-ACCT-026,2026-03-06T09:00:00+05:30,P1,Issue with resource gcp-inst-257. Service degraded. Investigating.,open,gcp-inst-257,SEV1,Issue with resource gcp-inst-257. Service degraded. Investigating.,False,False
T-010,AZ-ACCT-033,27-01-2026 04:00:00,low,Issue with resource gcp-inst-275. Service degraded. Investigating.,open,gcp-inst-275,SEV3,Issue with resource gcp-inst-275. Service degraded. Investigating.,False,False
T-011,AWS-ACCT-004,01-02-2026 02:00:00,SEV3,Issue with resource gcp-inst-223. Service degraded. Investigating.,open,gcp-inst-223,SEV3,Issue with resource gcp-inst-223. Service degraded. Investigating.,False,False
T-012,AWS-ACCT-008,2026-01-02 22:00:00,P1,Issue with resource aws-ec2-071. Service degraded. Investigating.,open,aws-ec2-071,SEV1,Issue with resource aws-ec2-071. Service degraded. Investigating.,False,False
T-013,AZ-ACCT-024,2026-01-17T23:00:00+01:00,sev3,Issue with resource az-vm-138. Service degraded. Investigating.,open,az-vm-138,SEV3,Issue with resource az-vm-138. Service degraded. Investigating.,False,False
